# Constructed from biom file
#OTU ID	BC21.HST16	BC22.HST17	BC18.HST13	BC27.HST23	BC17.HST12	BC26.HST20	BC23.HST18	BC20.HST15	BC19.HST14
None;Other;Other;Other	0.0001261829653	0.0	4.23491048458e-05	0.000160153747598	0.0	4.12388139717e-05	0.0	0.0	5.88489152183e-05
Unassigned;Other;Other;Other	0.0102929247409	0.00811313604575	0.00903094660837	0.0110506085842	0.00675271390717	0.00913439729473	0.00772723485795	0.00668911644102	0.0077092078936
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	1.80261379e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.16317320688e-05	1.96163050728e-05
k__Bacteria;Other;Other;Other	0.0137178909419	0.0134702173838	0.0165267381661	0.0152346252402	0.0165997093769	0.0140211967504	0.0145588602849	0.0149588802602	0.0114951547726
k__Bacteria;p__AC1;c__SHA-114;o__	0.00978819287968	0.00956006476729	0.0139434427705	0.0134929532351	0.0148388751175	0.0105365169698	0.00883112555195	0.0091860811399	0.0102004786378
k__Bacteria;p__Acidobacteria;Other;Other	3.60522757999e-05	0.000189478761153	0.000158809143172	8.00768737988e-05	8.547739123e-05	0.000103097034929	8.3312505207e-05	0.000206171397155	3.92326101456e-05
k__Bacteria;p__Acidobacteria;c__;o__	3.60522757999e-05	3.44506838461e-05	4.23491048458e-05	8.00768737988e-05	0.0	0.0	0.0	6.87237990516e-05	1.96163050728e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.000558810274899	0.00039618286423	0.00058230019163	0.000340326713645	0.000376100521412	0.000783537465462	0.000229109389319	0.000481066593361	0.000961198948566
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.000288418206399	0.000241154786923	3.17618286343e-05	0.0	6.8381912984e-05	0.0	6.24843789053e-05	9.16317320688e-05	3.92326101456e-05
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	1.80261379e-05	1.7225341923e-05	2.11745524229e-05	8.00768737988e-05	5.1286434738e-05	4.12388139717e-05	6.24843789053e-05	2.29079330172e-05	1.96163050728e-05
k__Bacteria;p__Acidobacteria;c__RB25;o__	3.60522757999e-05	1.7225341923e-05	5.29363810572e-05	0.0	5.1286434738e-05	2.06194069859e-05	2.08281263018e-05	2.29079330172e-05	1.96163050728e-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0001261829653	6.89013676921e-05	0.000137634590749	4.00384368994e-05	3.4190956492e-05	0.0	0.000104140631509	4.58158660344e-05	1.96163050728e-05
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.0001622352411	0.00017225341923	0.000169396419383	0.000140134529148	0.00017095478246	0.000164955255887	0.000124968757811	0.000183263464138	0.000274628271019
k__Bacteria;p__Acidobacteria;c__TM1;o__	5.40784136999e-05	5.16760257691e-05	0.0	4.00384368994e-05	5.1286434738e-05	0.0	6.24843789053e-05	0.0	1.96163050728e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.000378548895899	0.000344506838461	0.000455252877092	6.00576553491e-05	0.000478673390888	0.000185574662873	0.000374906273432	0.000366526928275	0.000431558711601
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	5.40784136999e-05	5.16760257691e-05	3.17618286343e-05	2.00192184497e-05	5.1286434738e-05	0.0	2.08281263018e-05	6.87237990516e-05	7.84652202911e-05
k__Bacteria;p__Actinobacteria;Other;Other	0.000450653447499	0.000344506838461	0.000899918477973	0.000780749519539	0.000581246260364	0.000515485174646	0.000395734399733	0.000458158660344	0.000725803287693
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.00461469130239	0.00316946291384	0.0053677490392	0.00310297885971	0.00521412086503	0.00472184419976	0.00289510955594	0.00565825945525	0.00527678606458
